id,title,company,job_location,job_state,date,site,job_description,salary,url,applied,search_term,skills,skills_by_category,priority,status,category,inserted_at,last_verified,user_id
9dcb5556-b694-4039-9e48-198965240b8e,Senior UI Developer React/Typescript Developer,Knack Solutions,"Work From Home, TX (Remote)","work from home, tx (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3R2L06VGRM38K9JB1B,False,react developer,[],{},0,new,,2025-07-16 19:46:33.685102,,
1296e105-da58-4623-9403-4248c1a780de,React/Java Developer,inSync Staffing,"Work From Home, IN (Remote)","work from home, in (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3W4JQ5ZMHC5ML9HS41,False,react developer,[],{},0,new,,2025-07-16 19:46:38.391952,,
0c9f76fe-1cfd-481e-b5fd-dac7822de5f1,(Full stack) Java/react Developer,American Recruiting and Consulting Group,"Work From Home, FL (Remote)","work from home, fl (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3V1MB71Q7SB2L0H74H,False,react developer,[],{},0,new,,2025-07-16 19:46:43.027880,,
97e1c1dc-1173-4964-8fa3-06a3d210fc22,Senior Cloud Application Developer Java/React (remote),Claritev,"McLean, VA (Remote)","mclean, va (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3Q58V7100C0872JVSK,False,react developer,[],{},0,new,,2025-07-16 19:46:47.644675,,
5ba1f40a-7dbe-4916-9266-92810ef0187c,Senior React Developer. (Need only USC and GC Holders),iSoftTek Solutions Inc,USA (Remote),usa (remote),2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3Q2HX6GNVPQ8K0P8H6,False,react developer,[],{},0,new,,2025-07-16 19:46:52.244997,,
f9d8b498-ada9-423a-96d1-4e2d05b38053,React Native Developer,ConsultNet,"Work From Home, UT (Remote)","work from home, ut (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3N4TK6N4Q44LY0TSXF,False,react developer,[],{},0,new,,2025-07-16 19:46:56.870330,,
eb3c742f-a638-4c5c-a24d-17c6fc6bfcab,React JS Developer,Knack Solutions,"Work From Home, NC (Remote)","work from home, nc (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3V6VS71B970ZQX5C7N,False,react developer,[],{},0,new,,2025-07-16 19:47:01.458071,,
e116b691-4bc3-43f1-b785-07d6a3474d87,React Developer,"RIT Solutions, Inc.","Work From Home, IL (Remote)","work from home, il (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3S6PB69KW9PV87QHGC,False,react developer,[],{},0,new,,2025-07-16 19:47:06.055242,,
692e27bb-71f8-438f-844a-f947e235acec,REACT.JS DEVELOPER,Tekfortune Inc,"Work From Home, AK (Remote)","work from home, ak (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3V38L6K7VK1K2C50MJ,False,react developer,[],{},0,new,,2025-07-16 19:47:10.723585,,
cd827044-7b99-405c-8ea2-a8f0f2f42646,React Java Developer,Saxon Global,"Work From Home, TX (Remote)","work from home, tx (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3T2HW6VY4ZPQPLGB90,False,react developer,[],{},0,new,,2025-07-16 19:47:15.356169,,
350c8a52-2386-4a2c-9384-237f4ff8067f,FrontEnd React Developer,SingleMind,USA (Remote),usa (remote),2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3Q2XJ6G0JJ3VV0P5Z3,False,react developer,[],{},0,new,,2025-07-16 19:47:19.986053,,
dcd8446c-b6a3-4292-bc4d-19b5eb55731e,Senior React UI AWS Developer,Innovative Development,"Work From Home, NC (Remote)","work from home, nc (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3R0C25YGYRVST5RHS3,False,react developer,[],{},0,new,,2025-07-16 19:47:24.587731,,
