id,title,company,job_location,job_state,date,site,job_description,salary,url,applied,search_term,skills,skills_by_category,priority,status,category,inserted_at,last_verified,user_id
9d3ffe33-c0e9-40aa-90cd-1b2a9a55ada3,Senior UI Developer React/Typescript Developer,Knack Solutions,"Work From Home, TX (Remote)","work from home, tx (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3R2L06VGRM38K9JB1B,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:10:34.015205,,
aa4ca6c4-2602-42c3-b875-9237b6e753dc,React/Java Developer,inSync Staffing,"Work From Home, IN (Remote)","work from home, in (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3W4JQ5ZMHC5ML9HS41,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:10:39.664801,,
ea6aa79f-addc-4a55-b2f9-e56a55f85e9a,(Full stack) Java/react Developer,American Recruiting and Consulting Group,"Work From Home, FL (Remote)","work from home, fl (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3V1MB71Q7SB2L0H74H,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:10:45.338739,,
cb82dced-a5e9-4c44-b20f-cd808cfebdaa,Senior Cloud Application Developer Java/React (remote),Claritev,"McLean, VA (Remote)","mclean, va (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3Q58V7100C0872JVSK,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:10:50.992793,,
adf0de13-d9cf-427e-a848-076b4c663e5a,Senior React Developer. (Need only USC and GC Holders),iSoftTek Solutions Inc,USA (Remote),usa (remote),2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3Q2HX6GNVPQ8K0P8H6,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:10:56.659637,,
231349a0-6e59-4c7f-b16e-f632f9019d19,React Native Developer,ConsultNet,"Work From Home, UT (Remote)","work from home, ut (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3N4TK6N4Q44LY0TSXF,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:11:02.330007,,
f77789b8-2fa4-4ba8-b174-eb6f31cd2052,React Developer,"RIT Solutions, Inc.","Work From Home, IL (Remote)","work from home, il (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3S6PB69KW9PV87QHGC,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:11:07.983508,,
5449063a-c83f-4afb-87fd-b409043646cd,React JS Developer,Knack Solutions,"Work From Home, NC (Remote)","work from home, nc (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3V6VS71B970ZQX5C7N,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:11:13.626467,,
426a9b25-fc47-4fed-9055-2bb79ff8f775,REACT.JS DEVELOPER,Tekfortune Inc,"Work From Home, AK (Remote)","work from home, ak (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3V38L6K7VK1K2C50MJ,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:11:19.233275,,
adf3bd38-5e04-473b-9116-ae4bc885b5ec,React Java Developer,Saxon Global,"Work From Home, TX (Remote)","work from home, tx (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3T2HW6VY4ZPQPLGB90,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:11:24.861853,,
9288cc48-2a4d-415a-99f6-9f4166679aa5,FrontEnd React Developer,SingleMind,USA (Remote),usa (remote),2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3Q2XJ6G0JJ3VV0P5Z3,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:11:30.524022,,
b318980a-94de-4934-aa1f-e50c0c9a17a6,Senior React Native Developer IV,C4 Technical Services,"Work From Home, MN (Remote)","work from home, mn (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3N2NX6LNQL7XJQ4TTX,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:11:36.152824,,
95a5d727-4c8d-4fb4-ae20-e7b4c334dd79,Senior React UI AWS Developer,Innovative Development,"Work From Home, NC (Remote)","work from home, nc (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3R0C25YGYRVST5RHS3,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:11:41.824859,,
c02d7e99-4698-4fd2-adfc-3e1c57ee4879,Sr. Cloud Application Developer (Java/React)REMOTE,Claritev,"McLean, VA (Remote)","mclean, va (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3T152694QN20KBQTXV,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:11:47.480290,,
54f40f2c-6420-4056-a920-8730ba35f86d,iOS Developer III (React Native),C4 Technical Services,"Work From Home, MN (Remote)","work from home, mn (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3T1LP60M55Z5LDJLRN,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:11:53.099887,,
5b6011a8-e8b6-420d-8d21-2b520f00ce61,ContentStack/React Gatsby Developer,"RIT Solutions, Inc.","Work From Home, FL (Remote)","work from home, fl (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3V3XP5YZJRKRLSRJP4,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:11:58.770127,,
134a021e-58bb-4246-9951-7e7971546a08,Lead React Developer,Saxon Global,"Work From Home, AR (Remote)","work from home, ar (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3Q2TZ5ZQDC5GXRGWRY,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:12:04.465679,,
c71b7d5a-ce41-46fb-b4bf-399accb37660,Senior Full Stack Java/React Developer,Saxon Global,"Work From Home, GA (Remote)","work from home, ga (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3R0JY6PPDXJK8HL41S,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:12:10.142567,,
8ed2df54-0a67-49f5-8a34-7217a7fc386c,Senior React Native Developer,XperiencOps Inc,"Work From Home, CA (Remote)","work from home, ca (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3N5QY5YP11C86DG4L8,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:12:15.770355,,
f695a97c-ab83-4673-81c3-8d56520c03af,Java Developer with React,Info Way Solutions,"Work From Home, IN (Remote)","work from home, in (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3P3FH6F8TR3SS2VY6H,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:12:21.462725,,
6c292306-114e-4bac-84a7-229b771a50e0,Lead React JS Developer (Full Time) - 100% Remote,The Dignify Solutions LLC,USA (Remote),usa (remote),2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3S5KV614XHTZ13751T,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:12:27.153550,,
fce4b436-70a3-4da7-9c82-d1870990414c,"UI Developer/Lead with React JS, JavaScript, Next JS skills",Diverse Lynx,"Work From Home, TX (Remote)","work from home, tx (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3M1FK6MTC5GVMBSZMX,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:12:32.816757,,
90cf0eb1-7b29-4518-8489-ce542e44f6c3,Senior Developer (PHP-React),iClassPro,"Work From Home, TX (Remote)","work from home, tx (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3T3BP6SQLYBK0Y669F,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:12:38.479596,,
18a09d8e-000e-4655-a874-9c3205731e64,Entry Level Full-Stack Developer (Java + React),SynergisticIT,"Work From Home, ID (Remote)","work from home, id (remote)",2025-07-16,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3W2L56R2RSJRYQC9WD,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-16T20:12:44.140556,,
